"Респ Адыгея, г Адыгейск",385200,Россия,Южный,Респ,Адыгея,Адыгейск,UTC+3,44.878414,39.190289
г Майкоп,385000,Россия,Южный,Респ,Адыгея,Майкоп,UTC+3,44.6098268,40.1006606
г Горно-Алтайск,649000,Россия,Сибирский,Респ,Алтай,Горно-Алтайск,UTC+7,51.9581028,85.9603235
"Алтайский край, г Алейск",658125,Россия,Сибирский,край,Алтайский,Алейск,UTC+7,52.4922513,82.7793606
г Барнаул,656000,Россия,Сибирский,край,Алтайский,Барнаул,UTC+7,53.3479968,83.7798064
"Алтайский край, г Белокуриха",659900,Россия,Сибирский,край,Алтайский,Белокуриха,UTC+7,51.996152,84.9839604
"Алтайский край, г Бийск",659300,Россия,Сибирский,край,Алтайский,Бийск,UTC+7,52.5393864,85.2138453
"Алтайский край, г Горняк",658420,Россия,Сибирский,край,Алтайский,Горняк,UTC+7,50.9979622,81.4643358
"Алтайский край, г Заринск",659100,Россия,Сибирский,край,Алтайский,Заринск,UTC+7,53.7063476,84.9315081
"Алтайский край, г Змеиногорск",658480,Россия,Сибирский,край,Алтайский,Змеиногорск,UTC+7,51.1581094,82.1872547
"Алтайский край, г Камень-на-Оби",658700,Россия,Сибирский,край,Алтайский,Камень-на-Оби,UTC+7,53.7913974,81.3545053
"Алтайский край, г Новоалтайск",658041,Россия,Сибирский,край,Алтайский,Новоалтайск,UTC+7,53.4119759,83.9311069
"Алтайский край, г Рубцовск",658200,Россия,Сибирский,край,Алтайский,Рубцовск,UTC+7,51.5012067,81.2078695
"Алтайский край, г Славгород",658820,Россия,Сибирский,край,Алтайский,Славгород,UTC+7,52.999463,78.6459232
"Алтайский край, г Яровое",658837,Россия,Сибирский,край,Алтайский,Яровое,UTC+7,52.9252146,78.5729775
"Амурская обл, г Белогорск",676805,Россия,Дальневосточный,обл,Амурская,Белогорск,UTC+9,50.9213415,128.4739471
г Благовещенск,675000,Россия,Дальневосточный,обл,Амурская,Благовещенск,UTC+9,50.290659,127.527198
"Амурская обл, г Завитинск",676870,Россия,Дальневосточный,обл,Амурская,Завитинск,UTC+9,50.1064111,129.4391813
"Амурская обл, г Зея",676151,Россия,Дальневосточный,обл,Амурская,Зея,UTC+9,53.7340088,127.265787
"Амурская обл, г Райчихинск",676770,Россия,Дальневосточный,обл,Амурская,Райчихинск,UTC+9,49.7941615,129.4112492
"Амурская обл, г Свободный",676450,Россия,Дальневосточный,обл,Амурская,Свободный,UTC+9,51.3614103,128.1219729
"Амурская обл, г Сковородино",676011,Россия,Дальневосточный,обл,Амурская,Сковородино,UTC+9,53.9871095,123.9437205
"Амурская обл, г Тында",676280,Россия,Дальневосточный,обл,Амурская,Тында,UTC+9,55.1546441,124.7468904
"Амурская обл, г Циолковский",676470,Россия,Дальневосточный,обл,Амурская,Циолковский,UTC+9,51.762481,128.1219846
"Амурская обл, г Шимановск",676301,Россия,Дальневосточный,обл,Амурская,Шимановск,UTC+9,52.0051886,127.7005458
г Архангельск,163000,Россия,Северо-Западный,обл,Архангельская,Архангельск,UTC+3,64.5394289,40.5169606
"Архангельская обл, г Вельск",165150,Россия,Северо-Западный,обл,Архангельская,Вельск,UTC+3,61.066,42.1032789
"Архангельская обл, г Каргополь",164110,Россия,Северо-Западный,обл,Архангельская,Каргополь,UTC+3,61.5009724,38.9636966
